id,total_evs,avg_battery,SUV,Pickup,Sedan,Van
3502,11,88.18181818181819,6,3,2,0
3503,11,88.18181818181819,6,3,2,0
3504,11,88.18181818181819,6,3,2,0
3505,11,88.18181818181819,6,3,2,0
3506,11,88.18181818181819,6,3,2,0
3507,11,88.18181818181819,6,3,2,0
3508,11,88.18181818181819,6,3,2,0
3509,11,88.18181818181819,6,3,2,0
3510,11,88.18181818181819,6,3,2,0
3511,11,88.18181818181819,6,3,2,0
3513,11,88.18181818181819,6,3,2,0
3514,11,88.18181818181819,6,3,2,0
3515,11,88.18181818181819,6,3,2,0
3516,11,88.18181818181819,6,3,2,0
3517,11,88.18181818181819,6,3,2,0
3518,11,88.18181818181819,6,3,2,0
3519,11,88.18181818181819,6,3,2,0
3520,11,88.18181818181819,6,3,2,0
3521,11,88.18181818181819,6,3,2,0
3522,11,88.18181818181819,6,3,2,0
3523,11,88.18181818181819,6,3,2,0
3524,11,88.18181818181819,6,3,2,0
3525,11,88.18181818181819,6,3,2,0
3526,11,88.18181818181819,6,3,2,0
3527,11,88.18181818181819,6,3,2,0
3528,11,88.18181818181819,6,3,2,0
3529,11,88.18181818181819,6,3,2,0
3532,11,88.18181818181819,6,3,2,0
3533,11,88.18181818181819,6,3,2,0
3534,11,88.18181818181819,6,3,2,0
3535,11,88.18181818181819,6,3,2,0
3536,11,88.18181818181819,6,3,2,0
3537,11,88.18181818181819,6,3,2,0
3539,11,88.18181818181819,6,3,2,0
3542,11,88.18181818181819,6,3,2,0
3543,11,88.18181818181819,6,3,2,0
3546,11,88.18181818181819,6,3,2,0
3547,11,88.18181818181819,6,3,2,0
3548,11,88.18181818181819,6,3,2,0
3549,11,88.18181818181819,6,3,2,0
3551,11,88.18181818181819,6,3,2,0
3552,11,88.18181818181819,6,3,2,0
3553,11,88.18181818181819,6,3,2,0
3555,11,88.18181818181819,6,3,2,0
3557,11,88.18181818181819,6,3,2,0
3558,11,88.18181818181819,6,3,2,0
3559,11,88.18181818181819,6,3,2,0
3560,11,88.18181818181819,6,3,2,0
3561,11,88.18181818181819,6,3,2,0
3562,11,88.18181818181819,6,3,2,0
3563,11,88.18181818181819,6,3,2,0
3564,11,88.18181818181819,6,3,2,0
3565,11,88.18181818181819,6,3,2,0
3566,11,88.18181818181819,6,3,2,0
3568,11,88.18181818181819,6,3,2,0
3569,11,88.18181818181819,6,3,2,0
3572,11,88.18181818181819,6,3,2,0
3573,11,88.18181818181819,6,3,2,0
3574,11,88.18181818181819,6,3,2,0
3576,11,88.18181818181819,6,3,2,0
3577,11,88.18181818181819,6,3,2,0
3578,11,88.18181818181819,6,3,2,0
3579,11,88.18181818181819,6,3,2,0
3580,11,88.18181818181819,6,3,2,0
3581,11,88.18181818181819,6,3,2,0
3582,11,88.18181818181819,6,3,2,0
3583,11,88.18181818181819,6,3,2,0
3584,11,88.18181818181819,6,3,2,0
3585,11,88.18181818181819,6,3,2,0
3586,11,88.18181818181819,6,3,2,0
3588,11,88.18181818181819,6,3,2,0
3589,11,88.18181818181819,6,3,2,0
3590,11,88.18181818181819,6,3,2,0
3591,11,88.18181818181819,6,3,2,0
3592,11,88.18181818181819,6,3,2,0
3593,11,88.18181818181819,6,3,2,0
3594,11,88.18181818181819,6,3,2,0
3595,11,88.18181818181819,6,3,2,0
3596,11,88.18181818181819,6,3,2,0
3597,11,88.18181818181819,6,3,2,0
3598,11,88.18181818181819,6,3,2,0
3599,11,88.18181818181819,6,3,2,0
3600,11,88.18181818181819,6,3,2,0
3601,11,88.18181818181819,6,3,2,0
3602,11,88.18181818181819,6,3,2,0
3603,11,88.18181818181819,6,3,2,0
3604,11,88.18181818181819,6,3,2,0
3605,11,88.18181818181819,6,3,2,0
3606,11,88.18181818181819,6,3,2,0
3607,11,88.18181818181819,6,3,2,0
3608,11,88.18181818181819,6,3,2,0
3609,11,88.18181818181819,6,3,2,0
3610,11,88.18181818181819,6,3,2,0
3611,11,88.18181818181819,6,3,2,0
3612,11,88.18181818181819,6,3,2,0
3613,11,88.18181818181819,6,3,2,0
3614,11,88.18181818181819,6,3,2,0
3615,11,88.18181818181819,6,3,2,0
3616,11,88.18181818181819,6,3,2,0
3617,11,88.18181818181819,6,3,2,0
3618,11,88.18181818181819,6,3,2,0
3619,11,88.18181818181819,6,3,2,0
3620,11,88.18181818181819,6,3,2,0
3621,11,88.18181818181819,6,3,2,0
3622,11,88.18181818181819,6,3,2,0
3623,11,88.18181818181819,6,3,2,0
3624,11,88.18181818181819,6,3,2,0
3628,11,88.18181818181819,6,3,2,0
3629,11,88.18181818181819,6,3,2,0
3630,11,88.18181818181819,6,3,2,0
3631,11,88.18181818181819,6,3,2,0
3632,11,88.18181818181819,6,3,2,0
3633,11,88.18181818181819,6,3,2,0
